Zona,Movimento 5 Stelle,Il Popolo della Famiglia,Per una Sinistra Rivoluzionaria,Partito Comunista,Civica Popolare,Partito Democratico,Italia Europa Insieme,Piu Europa,Unione di Centro,Forza Italia,Lega Nord,Fratelli d Italia,Italia agli Italiani,Partito Repubblicano Italiano - Alleanza Liberalpopolare - Autonomie,Potere al Popolo,Liberi e Uguali,CasaPound,Totale Voti Validi
12,78,2,1,2,6,227,10,20,3,43,73,22,0,2,7,26,2,524
12,83,0,2,6,9,171,12,40,2,41,64,13,0,3,10,38,2,496
12,93,0,0,3,4,102,8,30,8,65,80,20,1,1,8,45,4,472
12,103,1,0,2,6,107,5,30,0,38,58,25,2,1,11,37,2,428
12,161,6,2,5,4,135,6,18,0,40,84,18,0,1,12,37,2,531
12,125,3,2,6,7,107,2,25,1,52,67,17,1,0,17,34,1,467
12,113,2,0,3,6,102,3,20,2,25,65,19,2,0,8,30,3,403
12,121,2,1,5,3,147,5,14,2,36,65,11,0,0,15,34,0,461
12,93,5,3,3,5,125,7,18,0,36,59,22,2,0,16,30,1,425
12,107,1,2,3,2,172,5,17,4,30,60,15,0,1,2,44,3,468
12,103,4,1,6,8,114,4,19,2,36,50,7,1,2,6,25,1,389
12,90,4,2,2,0,99,3,6,3,34,74,10,1,1,4,12,2,347
12,118,2,0,9,3,138,1,11,1,30,64,25,2,0,8,30,7,449
12,105,2,1,1,0,127,3,22,2,29,43,8,2,0,7,37,1,390
12,110,1,0,2,8,252,7,31,4,44,65,15,1,0,15,61,2,618
12,78,1,1,1,1,176,8,22,5,39,50,17,0,1,5,36,1,442
12,120,6,0,3,1,160,3,19,2,39,63,19,1,1,11,43,2,493
12,87,2,0,2,3,180,17,21,2,34,45,27,0,2,8,30,3,463
12,104,0,1,2,3,137,7,19,2,33,49,12,4,1,19,31,2,426
12,80,2,0,4,5,141,5,17,0,40,68,17,2,1,5,40,1,428
12,124,2,2,3,1,135,3,22,6,32,48,19,1,1,6,37,1,443
12,106,2,4,3,7,153,4,21,0,45,49,15,0,0,11,34,1,455
12,86,3,1,5,1,123,4,25,1,38,47,13,2,0,7,31,1,388
12,117,1,1,7,1,118,2,15,0,34,67,9,2,1,6,34,0,415
12,77,2,0,2,5,186,7,19,4,47,71,26,0,2,9,45,1,503
12,117,0,1,6,2,156,5,24,2,35,58,8,1,0,11,37,2,465
12,102,5,1,3,5,155,9,22,1,38,74,11,1,1,8,37,0,473
12,113,4,2,2,2,129,1,17,3,26,59,14,2,1,6,31,0,412
12,100,1,1,4,5,141,5,20,2,34,76,26,2,0,7,39,2,465
12,86,3,2,3,1,180,3,17,1,34,61,13,0,2,8,42,2,458
12,147,1,2,3,3,125,5,16,0,27,62,12,5,3,12,29,2,454
12,151,1,1,5,4,170,7,17,2,44,59,14,4,0,6,36,4,525
12,109,1,2,6,2,150,4,12,0,28,60,5,1,0,7,41,3,431
12,124,2,1,5,3,122,3,13,0,32,62,10,3,0,9,33,1,423
12,117,1,1,1,12,177,8,27,0,50,73,18,1,0,8,36,1,531
12,104,6,0,5,4,134,4,25,0,56,72,18,5,1,6,31,2,473
12,97,2,0,3,3,175,4,9,1,26,57,14,1,2,6,37,4,441
12,106,3,0,2,1,175,6,24,0,29,34,12,1,0,7,62,0,462
12,111,2,1,4,3,143,9,28,2,55,54,15,3,1,4,27,1,463
12,140,4,0,6,4,219,10,20,0,37,61,18,0,2,5,59,3,588
12,96,3,0,2,4,171,6,33,3,49,56,18,0,0,7,40,1,489
12,40,2,2,4,2,75,4,7,0,39,18,9,3,2,3,6,0,216
16,100,2,2,2,7,150,10,57,6,59,81,27,3,2,3,31,0,542
16,145,3,1,8,4,126,5,17,1,41,51,20,3,2,11,28,1,467
16,126,0,1,3,6,121,6,35,0,42,56,20,1,1,10,31,2,461
16,121,1,0,1,8,158,6,32,4,56,92,17,3,1,9,34,2,545
16,91,3,0,2,5,140,14,29,2,59,49,14,2,1,6,39,3,459
16,99,6,0,2,4,167,7,24,1,57,72,33,1,1,9,42,1,526
16,119,5,2,4,5,152,10,24,2,51,58,16,0,1,7,57,2,515
16,100,1,1,1,2,101,7,33,0,38,66,17,0,1,9,36,3,416
16,116,3,1,4,7,142,10,32,1,29,73,16,3,3,6,35,3,484
16,129,2,0,2,5,141,6,24,0,34,72,13,0,0,7,32,4,471
16,74,4,0,1,13,138,8,42,5,55,63,21,0,1,10,34,1,470
16,104,5,0,0,8,121,10,39,3,60,79,28,4,0,6,31,4,502
16,99,2,0,2,1,141,3,16,1,30,52,7,2,0,2,39,2,399
16,106,0,1,4,4,183,3,26,1,36,66,18,2,0,11,46,0,507
16,138,3,0,5,1,70,2,10,0,29,42,2,2,1,13,27,1,346
16,92,1,1,7,0,104,2,13,0,38,61,10,1,0,5,16,5,356
16,101,2,1,3,1,164,4,19,4,50,85,9,2,0,15,50,2,512
16,81,1,2,0,10,132,4,26,1,37,56,13,1,0,10,44,3,421
16,97,3,0,0,1,210,6,25,0,34,74,13,0,1,11,43,0,518
16,81,4,0,5,5,115,8,36,4,55,71,30,0,0,4,28,7,453
16,58,2,2,2,3,123,8,35,4,86,79,33,0,0,7,24,4,470
16,76,3,1,1,5,112,9,36,2,69,89,25,3,1,11,31,6,480
16,133,4,1,3,1,87,5,14,1,36,76,13,0,0,4,19,6,403
16,110,3,0,3,5,133,1,29,2,47,47,17,0,0,8,38,6,449
16,103,2,1,2,3,163,5,34,4,41,71,20,1,1,10,31,3,495
18,158,2,2,6,1,120,4,13,0,22,53,13,2,0,8,30,1,435
12,12,0,0,1,2,18,0,4,0,6,9,3,0,0,0,4,2,61
18,19,0,0,2,1,47,1,1,2,21,19,7,2,0,3,14,1,140
18,33,0,1,3,2,43,4,4,0,8,13,4,1,0,0,7,2,125
18,17,0,0,0,1,43,2,3,1,12,12,1,1,0,2,3,0,98
2,8,1,0,2,1,27,1,1,1,3,7,0,0,0,0,1,0,53
4,15,0,1,1,0,21,2,2,0,3,5,1,0,0,2,4,0,57
