Sezione elettorale,Destre Unite - Forconi,Il Popolo della Famiglia,Partito Repubblicano Italiano - Alleanza Liberalpopolare - Autonomie,Potere al Popolo,Civica Popolare Lorenzin,Italia Europa Insieme,+ Europa,Partito Democratico,Sinistra Rivoluzionaria,Partito Comunista,CasaPound,Liberi e Uguali,Italia agli Italiani,Movimento 5 Stelle,Forza Italia,Unione di Centro,Lega Nord,Fratelli d'Italia,Totale Votanti,Totale Voti Non Validi
250,3,4,0,1,1,7,14,150,2,0,2,33,0,106,30,1,68,17,465,9
251,0,1,2,8,2,8,18,205,3,6,0,27,1,91,32,3,43,10,495,8
252,0,2,0,4,0,4,15,182,1,4,2,40,0,83,21,0,69,16,464,10
253,0,2,0,2,5,6,16,169,0,5,2,41,1,87,31,4,49,7,451,14
254,0,5,2,7,1,3,17,183,2,2,1,49,1,94,22,0,54,7,472,12
255,1,1,2,5,4,4,14,138,1,10,1,27,2,141,41,1,66,5,501,10
256,0,2,0,13,1,1,10,99,0,1,9,32,3,165,48,0,84,18,509,13
257,1,0,0,8,0,2,22,130,2,6,2,29,1,127,35,2,92,14,494,13
258,2,12,3,7,2,2,18,150,3,5,4,43,1,100,50,3,67,24,520,7
259,1,2,0,4,3,6,17,158,0,6,1,40,0,126,49,3,78,14,543,12
260,0,1,0,11,1,5,13,91,0,2,1,39,0,91,23,2,37,13,358,14
261,0,0,1,18,3,1,14,82,1,2,2,34,0,74,28,0,53,3,352,13
262,0,1,0,27,3,7,20,113,0,0,1,47,2,93,51,0,74,9,479,7
263,0,2,1,35,5,3,29,109,1,2,4,45,0,88,38,2,59,21,501,16
264,0,2,2,20,1,9,19,124,2,4,3,58,1,148,42,1,78,16,588,21
265,1,2,1,7,2,3,9,80,1,0,1,25,3,92,46,0,67,8,382,16
266,0,0,0,13,2,6,15,80,0,4,1,24,1,66,35,0,46,7,319,5
267,0,1,1,19,1,4,14,84,1,1,4,45,0,54,29,2,69,13,353,6
268,1,2,0,25,4,5,32,133,3,7,1,42,2,103,27,0,53,19,504,10
269,0,3,0,22,4,4,21,112,0,4,5,63,1,101,51,3,61,10,502,12
270,2,4,1,10,3,7,18,134,5,7,3,37,3,144,34,0,71,10,541,12
271,1,6,2,26,0,2,15,86,0,1,0,62,4,99,28,3,70,12,455,14
272,0,0,0,29,3,8,22,95,1,1,3,50,2,75,43,1,65,11,455,21
273,0,3,1,31,2,7,32,107,1,3,1,46,1,125,36,0,66,8,504,10
274,0,3,0,23,3,6,23,140,2,3,6,70,1,116,33,3,51,10,507,6
275,3,1,1,2,0,4,20,139,0,3,2,35,0,89,49,3,53,8,471,14
276,1,4,0,20,1,10,20,114,3,1,1,49,3,90,24,1,62,12,451,9
277,0,5,1,29,3,14,27,109,0,3,1,54,2,91,50,2,73,25,500,7
278,0,0,2,24,3,6,24,103,0,3,1,44,0,129,22,1,38,6,439,10
279,0,2,0,18,1,3,11,117,1,5,2,29,2,106,11,0,39,9,393,7
280,1,1,0,22,2,3,15,87,1,1,2,35,3,104,28,1,58,2,409,6
281,0,3,0,24,1,5,24,81,2,3,3,38,1,83,39,0,52,7,414,17
282,0,3,0,15,1,3,12,94,2,1,4,35,1,97,37,1,38,8,373,4
283,0,3,0,11,3,4,15,119,1,5,1,46,2,84,20,3,58,12,422,10
284,0,0,1,14,2,6,11,105,4,5,1,52,3,83,27,2,54,15,419,7
285,1,0,0,13,0,3,21,103,2,6,3,44,1,138,32,2,73,11,493,15
286,0,0,3,23,0,5,14,95,3,6,1,40,2,130,18,0,61,15,447,12
287,1,4,0,15,1,4,20,114,1,3,1,41,2,85,20,1,60,4,412,12
288,1,2,0,17,3,3,15,110,1,9,1,37,0,100,30,0,62,3,447,10
289,2,2,0,18,2,6,19,120,1,4,3,57,0,110,29,0,48,12,485,19
290,1,0,1,7,3,8,22,130,2,5,0,46,1,87,36,0,72,14,464,9
291,2,1,1,13,1,2,7,94,0,3,5,33,1,113,21,1,55,16,394,10
292,0,1,0,9,3,3,25,111,1,5,0,37,1,117,19,0,40,7,407,10
293,1,2,0,10,2,1,21,129,0,4,0,34,1,108,29,2,55,11,442,15
294,1,3,0,8,1,0,8,124,1,5,3,38,2,98,29,1,79,14,426,6
295,0,2,0,8,1,1,11,103,0,4,2,16,4,104,25,0,40,9,361,12
296,2,5,0,12,3,10,17,195,4,5,4,72,2,136,34,1,75,17,665,19
297,0,0,1,9,2,5,24,183,4,4,0,46,0,129,31,6,49,6,544,20
298,1,5,1,6,1,1,12,169,1,8,2,47,1,154,35,7,75,12,573,15
299,0,2,1,13,4,2,21,171,1,5,1,38,3,156,34,1,80,13,586,15
300,0,1,1,5,2,8,15,130,0,3,1,41,1,106,32,0,69,11,456,7
301,1,2,1,18,1,6,19,171,3,3,1,50,2,144,35,4,105,11,622,16
302,0,0,0,10,1,3,11,125,0,4,1,38,2,151,27,5,48,16,472,11
303,1,2,0,9,3,4,10,130,0,1,2,62,2,119,43,1,57,20,480,11
304,1,2,0,8,0,5,14,120,1,2,2,31,2,121,58,0,76,11,488,13
305,0,2,0,8,0,5,15,113,0,5,1,29,1,131,25,1,60,8,446,18
306,0,0,1,5,4,2,15,201,0,3,1,48,4,100,18,1,52,10,491,9
307,2,0,0,3,4,3,12,156,1,8,1,56,0,123,37,0,53,17,510,16
308,1,0,0,5,2,6,15,177,0,4,1,39,0,108,19,0,54,11,468,12
309,0,1,1,7,5,1,11,189,1,5,2,41,0,91,33,2,47,6,471,14
310,0,6,0,6,3,2,17,91,1,1,1,44,3,98,36,6,57,15,425,11
311,0,0,2,11,4,4,16,175,0,5,1,50,0,95,28,0,42,9,465,7
312,0,4,0,1,1,7,9,125,2,9,1,29,1,90,22,0,55,9,390,8
313,0,0,0,4,1,5,15,197,1,4,0,43,3,83,30,3,69,12,507,15
314,0,1,0,4,2,8,17,197,1,3,2,40,0,91,42,2,53,16,510,14
315,0,1,1,14,2,13,26,149,4,2,2,49,0,154,26,1,89,19,598,17
316,2,1,0,10,4,4,21,130,0,5,2,47,1,141,48,1,68,10,552,13
317,0,5,2,4,2,9,13,150,1,4,1,22,0,95,37,4,52,11,450,14
318,4,0,0,9,2,2,15,104,0,12,0,27,3,104,30,0,63,9,420,7
319,1,1,0,13,5,3,22,165,1,6,1,56,5,101,24,0,57,10,497,12
320,1,0,4,4,3,10,18,141,1,1,1,35,1,70,46,2,58,10,440,10
321,1,2,1,11,4,3,14,125,2,3,2,39,1,125,30,1,61,13,483,19
322,1,0,1,4,1,0,7,110,0,2,0,39,2,122,27,3,60,11,406,11
323,2,0,0,5,5,3,6,143,1,4,1,46,3,83,35,0,39,10,397,8
324,1,3,0,11,2,4,17,147,1,2,2,24,2,86,33,0,64,12,444,8
325,1,4,1,10,3,4,15,102,1,3,5,39,1,110,30,3,71,10,448,17
326,1,3,0,9,5,0,4,88,0,4,3,31,0,132,31,1,52,13,407,11
