Sezione elettorale,Movimento 5 Stelle,Il Popolo della Famiglia,Sinistra Rivoluzionaria,Partito Comunista,Civica Popolare Lorenzin,Partito Democratico,Italia Europa Insieme,+ Europa,Unione di Centro,Forza Italia,Lega Nord,Fratelli d'Italia,Italia agli Italiani,Partito Repubblicano Italiano - Alleanza Liberalpopolare - Autonomie,Potere al Popolo,Liberi e Uguali,CasaPound,Totale Votanti,Totale Voti Non Validi
190,64,0,1,0,2,109,12,47,3,102,80,31,2,0,10,25,4,537,13
191,46,4,0,0,11,126,13,59,9,114,71,33,0,5,11,23,4,552,5
192,65,6,0,0,9,133,8,53,1,73,69,28,1,0,15,29,1,526,8
193,42,5,0,0,9,138,13,53,11,115,83,40,1,0,9,15,2,579,9
194,53,1,1,2,9,132,9,39,7,124,83,27,0,1,5,30,5,561,7
195,70,1,0,0,6,128,14,58,5,75,84,32,3,5,9,45,0,560,8
196,65,2,0,2,6,110,3,47,0,86,61,29,0,3,6,22,3,462,4
197,69,5,0,1,3,129,4,50,7,63,70,31,2,0,14,31,2,511,10
260,95,3,0,3,1,101,5,16,1,25,37,12,0,0,13,36,1,374,15
261,73,0,0,1,1,91,2,17,0,29,57,6,0,0,18,34,4,368,15
262,103,2,0,0,7,124,10,34,0,54,72,12,1,0,23,38,3,514,6
263,99,2,1,2,5,124,4,31,3,36,61,26,3,2,34,36,3,532,21
264,149,2,2,2,0,135,10,24,2,43,86,13,0,2,24,56,2,604,19
265,104,1,1,0,3,85,4,13,1,55,67,10,3,0,12,25,1,416,15
266,68,0,0,5,2,87,8,17,0,36,50,8,0,0,13,27,1,336,7
267,59,1,0,0,0,98,3,20,2,31,75,13,2,1,18,32,3,373,7
268,115,1,1,3,5,147,11,30,1,29,59,17,1,0,27,41,4,530,14
269,113,0,0,0,4,121,5,23,2,52,62,14,1,0,21,45,4,520,10
270,158,3,5,5,1,154,6,26,1,32,74,12,5,1,11,34,1,565,14
271,104,5,0,1,1,98,5,26,1,37,71,14,4,1,23,51,1,478,11
